Overall,Age,Potential,Crossing,Finishing,HeadingAccuracy,ShortPassing,Dribbling,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Reactions,ShotPower,Stamina,Strength,LongShots,Aggression,Penalties,StandingTackle
83,30,83,81,79,50,84,82,84,87,83,85,82,83,78,80,71,84,68,80,71
90,27,90,80,94,86,85,83,65,86,85,65,74,92,91,83,85,86,80,91,36
82,35,82,85,61,71,83,84,74,81,86,75,77,80,86,74,55,78,82,70,78
84,28,84,72,69,70,85,76,74,84,84,70,68,76,80,94,67,84,85,69,81
87,28,87,82,60,57,90,91,64,89,92,68,60,87,60,76,54,58,89,64,82
82,26,85,69,76,83,84,80,60,82,82,69,72,80,82,86,77,80,76,68,78
86,30,86,78,68,54,90,90,77,89,92,72,55,84,75,74,59,73,72,75,71
82,28,83,69,69,59,85,76,71,80,82,84,72,79,83,85,79,80,84,85,81
84,31,84,82,73,65,85,78,74,87,83,67,66,85,77,86,78,75,83,64,81
85,30,85,78,80,50,88,86,80,85,89,66,65,86,79,74,73,81,70,80,75
80,33,80,73,80,59,82,70,68,79,79,70,71,80,93,69,84,90,85,63,83
81,29,81,68,68,83,76,73,68,80,75,77,74,79,78,87,77,74,85,60,81
81,23,85,74,78,60,82,86,73,79,84,73,76,83,77,84,75,74,78,75,73
84,24,86,66,67,68,83,78,48,75,84,76,79,81,84,94,86,78,84,89,84
81,28,81,79,73,74,85,83,86,81,85,73,74,77,90,81,79,87,78,83,72
85,31,85,77,51,74,79,79,71,77,81,89,94,85,86,86,80,69,84,63,84
83,26,83,82,79,82,80,80,58,77,82,79,84,86,76,89,76,68,80,50,78
89,29,89,78,86,84,84,90,64,71,88,93,90,91,83,85,72,80,75,71,42
81,25,86,74,72,71,86,78,70,82,83,77,79,79,76,88,74,74,72,80,74
80,32,80,79,76,69,80,77,84,81,80,73,75,80,85,87,73,80,74,61,76
85,22,88,86,73,68,81,84,55,73,83,95,95,84,77,91,73,70,75,46,78
84,24,87,82,74,67,89,79,78,88,85,67,59,83,87,81,69,86,68,73,73
84,27,84,82,66,67,82,81,52,77,83,82,83,83,74,84,69,64,79,61,84
84,23,90,84,68,74,78,83,64,68,79,92,94,84,80,90,79,72,82,50,79
82,25,85,82,52,66,83,83,81,79,83,86,87,83,79,90,63,79,69,54,76
83,32,83,75,78,65,85,82,83,83,81,73,70,86,81,85,80,81,67,78,73
91,29,91,85,83,63,86,95,87,81,95,93,89,89,80,81,53,81,63,93,32
84,30,84,86,54,79,81,74,82,80,82,74,73,81,75,87,64,70,73,66,81
78,24,84,72,73,69,79,81,76,72,78,86,83,77,80,93,44,75,87,69,74
80,34,80,73,75,90,83,71,83,81,82,64,60,82,88,68,83,86,82,91,75
85,29,85,73,78,78,84,89,65,76,90,77,77,86,79,87,74,76,75,72,64
84,31,84,76,56,64,85,84,78,81,85,75,77,80,82,77,73,78,78,78,78
82,27,83,69,76,50,85,81,73,81,85,81,76,81,80,86,81,78,69,65,79
90,30,90,68,65,54,82,79,49,79,81,82,75,93,71,97,72,65,93,54,93
81,30,81,77,73,70,83,75,72,77,85,79,74,77,82,82,50,81,66,74,76
82,31,82,83,61,74,80,72,55,72,79,81,84,80,82,85,79,76,85,59,80
82,31,82,86,82,84,80,80,87,79,83,80,83,78,90,61,76,87,64,76,53
82,29,82,78,81,77,77,78,64,76,80,89,90,81,82,88,74,74,82,53,61
87,33,87,88,79,51,84,88,88,82,87,83,83,84,83,78,62,86,73,73,55
81,30,81,77,77,65,82,81,78,77,83,75,77,81,77,85,70,80,77,73,73
84,35,84,85,65,73,83,84,46,79,83,90,84,84,74,82,39,70,75,56,77
83,22,89,66,69,59,85,79,66,84,82,82,90,84,80,86,79,81,81,59,80
84,27,84,84,77,43,88,88,82,82,87,84,67,86,79,79,50,80,52,44,79
81,27,83,79,61,60,84,79,78,85,81,67,66,78,88,79,77,77,89,64,78
91,22,95,78,93,72,85,93,69,71,91,97,97,93,86,88,77,82,62,79,34
81,25,85,79,75,60,84,83,79,83,85,76,75,82,82,76,70,75,82,65,75
78,36,78,85,69,60,85,72,83,87,83,69,76,73,83,68,69,77,83,84,76
78,35,78,85,60,79,78,76,89,77,76,62,63,77,95,67,73,86,84,80,80
81,28,81,70,60,52,82,79,74,80,80,81,74,86,77,93,52,68,87,64,80
81,24,88,77,78,56,85,80,82,82,81,75,80,83,77,85,70,76,65,86,79
79,33,79,74,65,72,78,77,81,80,80,73,73,75,75,90,71,79,68,80,75
82,24,87,78,66,53,88,76,84,85,82,64,54,80,86,79,67,84,83,76,77
82,27,83,75,81,77,84,83,87,82,84,84,76,78,84,82,75,87,67,75,55
82,28,82,79,66,71,82,85,67,71,84,86,81,84,66,88,39,63,73,68,74
86,32,86,86,83,61,92,82,90,90,86,52,49,80,81,78,70,88,58,88,70
80,26,81,65,75,83,82,76,67,84,82,69,64,82,85,77,76,82,83,61,77
83,32,83,69,71,84,90,78,68,83,81,60,61,85,75,76,82,71,75,76,80
80,34,80,80,80,90,83,80,68,82,85,45,37,83,85,75,86,86,84,85,74
86,27,88,75,63,75,84,78,53,82,81,65,68,86,81,88,81,70,85,90,87
87,27,88,88,55,67,82,81,71,76,83,83,85,85,76,95,65,65,85,55,84
83,28,83,74,66,68,87,84,70,85,83,63,74,82,86,83,84,78,84,49,84
76,24,83,69,71,69,75,77,75,73,80,87,84,71,81,86,60,72,81,69,75
77,24,82,78,70,70,76,77,72,76,77,77,79,78,84,90,85,75,80,69,70
81,23,86,81,64,70,77,81,57,75,81,85,83,80,76,84,70,68,78,54,78
81,27,82,69,77,58,82,78,81,83,82,65,65,83,88,78,73,87,77,57,79
76,31,76,86,68,59,73,73,76,77,78,72,76,68,90,63,75,84,80,71,79
80,23,84,72,63,62,84,84,73,83,84,80,67,81,74,79,66,72,81,68,76
82,33,82,80,71,55,84,83,81,87,84,63,61,82,77,74,67,81,83,79,77
81,31,81,65,72,61,81,76,68,79,78,71,70,81,81,93,80,78,84,67,82
80,33,80,84,71,72,80,89,67,77,91,74,73,77,81,67,70,70,77,59,77
77,22,82,65,69,80,79,77,63,75,76,80,81,76,74,85,81,71,81,61,77
83,25,86,83,75,54,83,88,81,76,86,84,80,81,79,76,55,77,63,68,59
81,32,81,80,78,80,78,78,75,72,80,82,81,79,84,75,76,77,65,76,58
83,24,85,79,59,51,88,87,60,85,90,71,67,84,76,79,66,74,70,69,73
81,36,81,86,76,75,83,74,82,86,82,55,54,85,90,68,75,82,85,85,67
80,29,80,81,56,60,80,76,58,67,77,81,83,74,83,93,86,67,86,54,78
77,27,78,74,69,70,78,78,66,75,79,80,80,77,77,91,70,77,74,68,66
82,29,82,81,78,59,85,81,78,84,83,82,74,78,80,84,60,82,60,70,59
88,31,88,88,77,58,93,80,84,93,88,55,52,90,89,75,72,86,60,73,73
83,26,86,78,63,72,80,80,35,78,78,91,92,82,69,89,83,64,82,49,81
83,30,83,84,55,76,81,79,59,71,80,78,83,80,78,83,77,72,80,60,80
82,24,87,71,84,77,75,85,58,71,85,88,81,84,84,81,71,75,85,63,57
82,32,82,74,84,65,85,82,75,79,84,63,59,84,85,75,72,83,74,83,62
82,31,82,80,56,60,84,81,92,82,83,67,64,83,78,79,60,80,70,79,77
77,29,77,79,67,67,72,76,75,71,74,82,84,72,77,87,78,71,70,83,74
80,24,85,82,58,70,82,80,76,78,82,75,71,78,77,76,63,71,74,59,79
81,31,81,80,77,45,82,82,77,81,84,78,73,83,76,78,59,77,67,78,67
88,32,88,84,47,63,86,82,59,77,86,68,67,91,57,79,59,65,58,69,87
83,32,83,77,80,68,83,84,66,71,83,86,85,82,84,88,69,77,69,72,53
85,23,89,80,83,68,80,86,76,71,84,86,93,84,92,86,75,81,73,84,38
85,23,89,56,85,87,78,83,43,73,85,86,83,89,80,80,84,74,86,74,31
89,28,89,83,88,68,84,87,74,74,84,85,90,91,88,88,64,89,62,73,34
81,24,86,67,78,69,81,76,65,78,85,67,69,81,83,84,74,78,76,61,73
79,23,84,76,67,73,82,70,77,83,76,66,64,80,78,84,75,76,71,85,75
79,35,79,85,62,65,82,76,75,80,81,60,52,84,82,77,70,70,86,89,80
85,32,85,86,59,72,80,77,75,77,83,76,75,85,71,89,73,60,81,65,84
80,29,80,81,72,66,84,76,81,82,81,62,55,79,88,76,66,86,76,82,72
79,25,83,80,69,38,79,84,79,74,82,77,84,82,78,88,57,75,76,52,72
76,33,76,80,68,54,78,79,82,76,80,75,66,71,78,81,62,76,71,70,66
78,24,82,76,71,69,78,77,69,77,80,77,73,77,80,85,75,76,81,53,72
80,33,80,78,73,74,83,80,70,82,82,69,67,77,82,76,75,81,60,70,67
81,26,84,89,71,57,85,76,92,84,82,66,54,75,82,91,64,79,73,79,74
80,32,80,77,66,53,81,74,75,83,78,68,63,81,78,80,64,77,84,75,74
79,31,79,71,69,63,81,78,64,78,81,68,62,80,78,81,70,71,82,74,81
83,36,83,68,66,71,83,76,71,81,81,67,52,86,83,66,75,76,86,61,85
79,30,79,68,77,67,80,76,63,77,77,75,75,83,76,93,77,73,75,68,76
78,31,78,79,69,70,82,80,78,79,83,69,69,75,84,69,61,81,68,68,71
79,28,79,65,68,75,81,76,56,78,79,67,69,80,86,82,94,83,86,45,79
81,30,81,83,72,58,79,81,71,76,79,83,82,81,80,91,57,76,72,56,69
78,31,78,77,71,67,78,78,76,76,84,85,83,69,81,76,64,77,65,72,70
81,24,85,78,69,69,82,78,47,78,78,82,81,79,72,88,69,68,85,54,79
77,33,77,84,64,69,80,75,68,77,80,74,76,75,83,70,78,77,73,66,79
87,31,87,85,88,81,85,77,59,79,84,66,67,94,78,86,66,82,62,70,57
81,30,81,86,58,67,81,75,59,77,80,82,82,82,74,87,63,65,72,77,80
81,26,82,70,69,69,84,80,59,80,83,70,81,82,86,86,80,76,69,67,81
76,32,76,74,66,64,78,76,76,77,78,69,74,78,84,78,72,81,82,75,64
86,34,86,69,90,79,74,78,60,60,82,85,85,91,87,76,66,67,87,85,52
77,34,77,68,68,75,76,75,69,76,77,60,57,79,85,86,87,79,86,71,77
87,27,88,82,85,59,87,90,88,79,93,88,80,80,84,70,61,89,43,84,41
80,29,80,83,71,47,83,81,81,82,82,70,65,77,77,78,63,80,83,75,71
82,28,82,81,73,65,84,83,78,82,85,70,66,80,76,82,71,76,63,69,75
80,33,80,75,79,71,78,85,81,74,77,83,78,80,94,85,89,82,83,78,41
81,29,81,81,59,66,81,77,66,71,72,92,93,82,73,91,73,73,69,65,72
85,29,85,75,64,56,92,79,76,89,87,61,50,82,71,87,66,62,79,91,81
81,31,81,73,76,65,81,85,79,80,78,85,79,77,70,79,67,80,63,74,63
80,24,84,73,61,54,86,77,60,79,84,73,74,84,69,77,76,65,81,67,82
82,33,82,84,77,59,85,79,82,86,82,59,56,80,84,74,71,76,67,82,77
79,30,79,83,70,83,82,78,86,71,83,61,55,80,84,82,76,75,75,63,80
83,30,83,72,73,56,83,81,49,80,82,77,68,84,73,92,70,69,89,53,87
84,25,86,85,44,78,82,80,54,69,82,76,81,82,70,80,79,54,84,44,83
78,33,78,79,72,70,79,67,80,77,75,64,53,76,78,92,73,77,80,75,75
82,35,82,85,78,60,86,85,78,84,87,64,61,81,77,60,59,80,67,90,65
86,26,86,85,77,51,86,92,67,76,90,83,77,84,76,93,54,76,70,68,63
75,32,75,86,65,62,75,75,84,74,78,71,68,79,82,69,67,77,88,74,73
81,29,81,76,59,76,77,73,73,74,79,67,77,80,84,77,80,69,78,67,84
83,26,86,75,85,69,82,88,65,66,87,86,85,84,83,82,71,86,79,55,53
81,23,86,81,74,59,83,86,76,80,86,81,78,78,79,74,63,76,59,65,72
85,32,85,85,84,44,85,85,85,79,86,76,71,86,86,67,66,83,51,76,38
80,34,80,85,68,68,86,76,82,83,85,55,45,75,77,75,57,77,74,70,70
77,33,77,85,73,63,76,75,79,73,75,67,66,77,76,82,75,74,72,80,73
83,28,83,78,86,76,81,80,80,74,80,76,70,85,87,90,87,84,80,72,50
78,27,79,80,72,63,80,77,81,78,78,71,70,77,77,84,68,76,73,76,68
83,27,84,73,61,42,90,89,70,82,89,77,65,81,79,79,63,75,77,59,73
82,28,82,83,65,56,81,82,51,73,82,82,82,81,67,79,58,62,75,53,81
82,24,87,73,80,83,79,86,65,61,83,85,81,82,83,83,77,70,84,77,58
79,28,79,67,81,77,79,75,44,77,80,69,72,82,81,90,73,75,79,76,75
85,29,85,82,51,72,83,78,47,74,83,79,80,83,68,89,74,47,84,45,82
80,28,80,74,70,55,84,86,61,80,84,74,68,77,80,66,67,77,70,67,74
79,25,80,77,78,52,77,82,91,74,81,79,71,81,85,75,45,84,62,78,65
79,27,79,78,70,39,80,83,60,75,83,82,81,78,83,80,70,78,77,69,72
77,33,77,76,60,65,73,78,55,67,81,84,83,75,79,84,73,71,84,64,71
79,33,79,65,64,70,83,87,55,79,86,69,71,71,77,66,83,68,73,63,73
75,33,75,73,70,64,76,78,72,75,76,68,73,75,75,89,75,72,70,73,68
78,26,79,80,53,70,77,78,60,73,80,84,89,77,80,80,78,69,78,52,79
81,30,81,72,61,80,79,75,46,77,76,65,69,79,69,93,79,65,87,66,83
80,31,80,69,65,75,78,77,50,74,82,82,80,80,75,85,65,66,79,67,80
81,33,81,77,84,64,77,87,68,68,84,87,86,80,82,78,67,78,58,76,54
78,34,78,72,76,74,80,80,71,74,84,66,72,72,84,54,80,78,82,68,73
86,29,86,77,89,82,81,86,62,75,85,80,78,89,83,79,75,83,61,85,41
82,24,87,75,70,56,85,89,62,81,87,73,69,81,80,69,74,75,73,60,74
82,30,82,68,60,75,78,71,48,75,76,64,68,82,76,92,77,77,85,80,84
84,27,84,79,83,49,84,88,79,78,87,88,79,79,84,79,81,84,79,74,42
80,30,80,73,75,60,82,83,74,80,82,79,74,80,72,87,68,74,70,72,74
89,33,89,75,90,89,86,87,73,73,90,77,75,91,85,78,82,79,63,84,24
76,26,77,74,71,65,77,76,68,78,76,75,69,76,79,81,76,72,73,68,74
81,33,81,67,67,51,84,74,75,83,79,62,65,80,81,76,69,76,82,83,79
78,28,78,78,74,66,79,79,83,82,79,75,70,80,77,83,61,78,69,73,57
77,35,77,68,77,84,77,78,73,74,77,79,69,72,80,82,80,74,77,71,57
80,25,82,72,80,79,82,83,60,80,84,67,68,80,78,80,75,74,70,80,65
81,23,86,70,74,59,83,86,72,79,86,76,74,79,72,75,67,73,69,74,66
81,27,82,77,72,52,84,87,65,81,85,83,79,79,79,75,57,83,56,51,72
79,31,79,75,79,84,75,79,60,72,76,79,87,80,79,76,86,68,83,75,56
82,20,89,74,67,64,81,85,44,58,79,96,96,81,71,79,72,63,77,60,77
82,25,86,72,79,67,83,83,59,80,86,67,60,82,77,87,67,83,68,67,78
79,34,79,86,71,68,82,75,52,82,83,71,74,77,71,83,70,72,71,59,78
80,35,80,68,61,65,85,76,63,77,79,70,66,80,75,73,78,67,87,73,79
80,28,80,68,57,69,78,69,77,84,73,69,72,76,87,82,84,86,84,50,83
82,23,87,70,69,68,85,78,64,83,80,62,60,83,77,89,78,80,72,60,82
76,33,76,76,59,69,72,73,69,67,74,75,76,73,88,75,77,87,86,64,76
81,32,81,77,80,79,81,77,72,74,82,78,80,78,84,77,87,82,77,79,42
85,24,88,53,50,72,78,72,60,75,77,65,68,88,80,90,78,70,87,57,90
80,25,81,76,79,49,79,82,75,65,81,86,81,79,77,74,56,72,72,69,64
88,26,89,79,85,46,83,87,72,69,86,95,88,90,78,79,64,83,59,67,53
80,27,81,90,65,60,78,73,75,76,77,80,83,79,82,89,69,63,73,60,75
78,34,78,74,64,55,82,78,80,79,80,67,62,77,73,81,60,73,74,70,75
80,27,80,76,64,71,77,76,69,71,75,85,83,76,72,89,75,69,74,59,78
76,27,76,68,67,74,75,79,73,76,78,64,55,75,82,77,81,77,81,67,74
77,24,82,69,73,67,77,74,55,78,77,74,77,76,84,88,82,75,82,54,74
83,28,83,84,60,69,78,83,41,64,80,94,91,82,68,81,66,68,71,59,77
79,22,88,67,67,57,85,81,64,77,80,76,80,78,86,82,68,84,69,66,75
77,23,83,70,71,57,76,80,69,74,78,88,86,68,77,70,67,78,65,65,71
82,26,85,69,73,83,81,74,53,76,77,61,66,81,73,92,84,70,76,70,82
84,32,84,86,83,66,87,85,79,80,87,67,70,83,79,88,80,77,56,86,34
74,31,74,69,55,69,73,71,69,71,74,81,79,73,83,80,81,67,83,67,73
84,30,84,74,88,74,82,87,76,66,87,83,81,86,84,75,69,74,62,85,33
75,25,78,85,72,52,73,73,88,70,73,76,79,73,88,77,69,82,74,74,69
81,22,87,81,68,57,81,80,48,79,81,78,80,82,73,88,66,65,76,47,78
74,32,74,70,70,60,70,75,84,75,78,68,63,71,90,77,88,83,77,73,72
78,26,81,64,71,59,80,80,61,83,78,73,67,76,83,90,75,73,79,55,75
77,29,77,78,66,68,76,74,68,72,77,75,73,74,76,84,72,75,77,66,72
76,28,76,78,58,64,75,74,81,75,76,69,72,72,78,74,74,72,74,80,77
71,30,71,68,63,60,70,68,63,69,71,81,85,78,85,82,81,69,86,50,71
79,24,84,65,58,65,80,80,75,77,78,69,71,79,82,80,73,79,74,58,83
89,29,89,53,52,87,79,70,70,86,76,66,88,87,81,69,92,64,83,62,92
79,31,79,67,80,72,75,78,80,66,79,87,81,75,86,81,82,72,69,85,45
77,22,83,69,64,61,79,82,70,75,78,80,79,79,80,80,71,76,80,60,73
86,34,86,85,74,51,93,80,87,90,93,67,65,90,67,60,60,72,53,75,61
79,27,79,76,75,46,78,82,80,80,85,62,55,80,79,77,67,80,69,70,63
80,24,84,68,71,78,81,78,53,78,76,62,69,79,85,84,84,81,88,60,81
82,31,82,60,60,69,80,76,66,76,79,70,69,81,82,85,69,72,83,55,87
78,33,78,80,64,70,75,74,70,72,76,72,73,74,83,78,71,71,89,67,77
74,29,74,83,55,64,73,75,78,77,74,77,74,69,83,75,71,80,72,63,78
80,29,80,81,75,60,80,79,75,75,79,84,83,77,84,84,66,77,76,77,54
88,20,93,47,94,69,77,78,62,51,85,82,94,88,94,82,93,87,85,76,43
75,31,75,72,66,65,74,76,67,69,73,87,88,73,70,91,64,67,75,80,68
77,28,78,71,68,76,73,71,51,73,73,78,78,76,72,85,79,73,85,54,79
78,21,78,76,54,77,77,71,77,67,72,77,80,72,84,89,67,77,94,77,77
82,27,82,76,85,74,79,84,66,67,82,83,88,85,85,81,80,80,84,65,50
75,31,75,73,58,62,69,75,63,67,72,93,93,70,76,90,82,68,75,64,70
75,24,78,72,75,68,74,73,65,62,74,85,87,70,80,91,72,75,72,64,70
78,24,83,77,55,62,83,83,68,79,82,69,77,78,69,86,70,65,78,64,77
83,22,89,82,79,59,86,82,83,83,85,77,71,84,81,86,54,82,68,60,57
79,21,79,52,68,83,78,72,68,72,74,62,78,75,75,87,82,70,84,72,84
82,24,87,78,74,45,76,86,75,70,83,90,91,82,81,84,64,76,76,73,54
80,25,84,71,61,59,78,77,72,73,79,76,72,77,78,84,68,74,86,48,82
81,21,86,86,48,69,79,77,76,71,80,78,81,75,75,79,83,66,74,50,80
83,29,83,83,74,64,83,85,78,82,83,90,87,84,82,88,68,78,62,77,35
86,25,89,63,64,78,85,78,54,83,82,60,62,80,83,87,82,76,76,46,84
82,31,82,80,60,76,84,77,62,85,84,48,43,83,74,76,72,64,67,54,84
83,26,86,80,61,58,81,79,49,75,82,81,85,84,62,87,66,59,76,52,82
80,30,80,73,76,72,75,85,64,66,83,87,84,76,79,75,63,72,68,76,59
80,23,85,79,74,49,74,83,45,69,78,83,85,78,77,91,73,73,74,51,70
79,25,83,65,66,74,77,74,54,76,75,70,68,73,78,84,82,66,79,68,87
82,30,82,75,56,72,81,80,39,71,79,79,83,80,71,87,75,60,77,53,80
76,24,79,77,69,56,76,79,78,76,79,77,75,74,80,77,60,77,78,70,67
78,23,85,70,72,75,80,74,55,77,81,60,70,76,80,79,87,78,68,72,81
81,23,88,75,84,40,83,83,72,78,84,77,76,84,81,85,58,76,64,74,57
79,27,80,71,70,60,81,79,66,81,81,67,66,76,83,76,68,82,75,60,72
80,30,80,69,64,63,82,80,41,81,81,68,68,81,75,75,78,72,88,52,81
78,35,78,79,63,66,77,78,75,65,77,79,67,78,74,68,62,63,83,60,73
76,24,82,74,69,60,69,79,74,55,78,83,86,76,77,78,66,74,78,67,69
79,28,79,74,78,67,78,80,68,65,80,78,75,81,79,79,60,81,74,70,57
79,21,85,65,67,73,81,77,53,82,79,70,73,79,76,85,81,72,78,55,79
85,34,85,68,89,88,75,74,74,52,81,64,68,90,87,81,77,77,81,85,48
76,24,80,72,64,72,79,76,63,84,82,71,73,78,77,74,80,72,67,54,74
77,26,80,75,66,79,81,73,71,78,76,53,68,73,85,83,85,76,75,55,78
79,28,79,63,63,62,81,70,84,82,76,73,76,73,79,80,71,76,80,61,78
79,35,79,70,70,75,78,75,55,79,78,64,52,80,87,75,69,84,80,45,79
79,29,79,74,58,69,84,66,79,77,79,58,61,75,85,84,85,81,83,74,76
78,30,78,77,74,67,79,80,56,77,80,68,70,73,77,82,67,77,71,62,66
78,32,78,80,78,52,77,76,84,78,79,73,62,80,82,78,69,79,72,77,69
77,23,83,77,65,62,77,75,73,72,74,74,74,75,84,86,64,78,85,60,74
78,26,79,78,65,65,77,72,80,64,78,78,77,67,81,78,70,78,70,65,80
83,30,83,73,84,85,81,84,51,75,82,63,80,82,84,82,84,74,81,92,38
83,25,86,66,65,65,83,76,74,80,80,58,61,82,84,88,78,79,87,51,84
79,27,79,81,61,53,82,85,80,71,84,79,79,70,80,70,69,82,50,82,59
81,29,81,89,84,62,84,86,86,85,90,55,51,83,86,55,64,91,60,81,41
82,22,88,84,73,52,83,85,83,81,85,80,75,74,76,78,56,77,63,63,49
81,25,85,70,62,65,80,73,71,82,79,69,66,76,75,85,78,67,86,58,82
81,21,89,80,70,54,79,85,61,69,87,85,83,80,74,85,77,83,67,65,64
73,26,74,71,69,64,74,73,74,72,74,71,73,71,76,68,75,72,74,79,77
79,34,79,72,59,68,78,75,52,72,75,74,73,78,78,85,75,66,81,56,78
78,18,89,70,62,64,81,80,59,77,81,73,71,78,72,80,76,64,77,62,78
77,28,77,76,81,50,70,76,82,64,73,89,91,77,82,82,57,86,49,77,57
81,26,82,79,68,57,79,86,72,77,85,80,76,82,73,80,60,67,77,72,67
75,29,75,77,69,44,76,74,70,75,76,72,68,75,78,84,66,73,84,60,70
81,28,81,70,79,65,72,88,71,66,82,93,88,79,85,75,57,75,78,74,43
82,28,82,81,74,42,82,85,81,72,84,84,76,81,77,78,65,76,57,79,47
82,24,85,81,75,35,84,84,84,82,86,78,72,76,83,74,51,80,68,74,65
84,27,84,81,81,53,79,88,79,73,85,89,88,80,85,80,61,82,65,81,47
79,28,79,68,76,66,79,77,42,76,80,66,74,79,84,89,80,75,75,54,80
73,29,73,63,65,55,74,75,65,70,74,85,85,72,80,90,77,70,77,65,73
77,33,77,75,60,60,75,76,77,72,73,85,79,82,70,84,52,61,70,67,74
79,33,79,75,76,76,77,82,70,74,84,84,75,81,78,75,74,78,77,71,45
75,30,75,69,66,67,77,77,53,68,78,80,75,73,73,83,71,68,83,65,77
80,27,80,81,60,78,77,76,30,71,78,76,75,78,76,78,73,55,86,64,75
77,25,81,73,74,51,82,76,79,77,82,75,71,77,76,80,64,75,72,46,72
84,28,84,88,73,52,86,83,78,89,85,79,77,84,83,79,58,77,73,67,56
78,26,82,72,67,48,80,71,73,75,78,76,69,77,76,86,72,72,72,73,77
82,29,82,78,75,48,80,89,86,77,89,74,65,80,82,74,52,86,59,70,54
76,30,76,70,67,60,76,78,69,75,78,68,64,75,75,95,48,73,56,76,74
76,26,77,71,69,70,80,71,79,77,75,64,55,75,83,86,82,79,77,62,76
76,33,76,70,67,67,79,70,76,75,79,61,60,80,78,61,69,74,82,77,71
82,27,83,81,75,53,85,86,85,83,88,72,62,78,80,75,49,84,57,78,56
74,31,74,74,55,68,76,76,68,73,75,72,68,76,80,65,70,76,81,64,78
75,23,81,66,72,61,76,76,58,71,76,78,85,75,78,90,75,75,78,59,74
74,30,74,73,66,74,73,68,78,81,75,60,61,77,77,86,80,80,80,66,73
82,35,82,57,50,81,81,64,71,80,77,60,58,80,81,70,78,72,83,80,82
76,26,79,62,71,62,78,79,65,76,74,74,76,71,81,91,79,77,79,53,76
